,x,y,color,label,word
0,0.20999047,0.68727624,[0. 0. 0. 1.],american,carolina
1,-1.9304422,-0.890319,[0. 0. 0. 1.],american,classic
2,0.059537575,0.05542027,[0. 0. 0. 1.],american,beach
3,-0.7409711,0.2967211,[0. 0. 0. 1.],american,kitchen
4,-1.4133399,-1.7593427,[0. 0. 0. 1.],american,canadian
5,-1.5264472,-2.1287193,[0. 0. 0. 1.],american,grandma
6,-0.9590566,-0.6789597,[0. 0. 0. 1.],american,dill pickle
7,-0.8634459,-1.7491549,[0. 0. 0. 1.],american,bologna
8,-2.1267588,-1.2860719,[0. 0. 0. 1.],american,cheeseburger
9,-1.025827,1.9514333,[0. 0. 0. 1.],american,texas
10,-0.45499822,-0.6921927,[0. 0. 0. 1.],american,man
11,-1.164975,-1.3119124,[0. 0. 0. 1.],american,polish
12,-1.3597243,-2.6776023,[0. 0. 0. 1.],american,amish
13,-0.8355708,-0.9395257,[0. 0. 0. 1.],american,cheeseburgers
14,-0.99181545,-1.4586964,[0. 0. 0. 1.],american,deli
15,-0.81662905,-0.42319635,[0. 0. 0. 1.],american,picnic
16,-0.8671372,-1.0041149,[0. 0. 0. 1.],american,nana
17,-1.1107557,-0.8920702,[0. 0. 0. 1.],american,hamburger
18,-1.4727379,-1.560671,[0. 0. 0. 1.],american,mom
19,-1.3942242,-1.0866191,[0. 0. 0. 1.],american,moms
20,-0.06982106,4.061428,[0.48367647 0.         0.55030196 1.        ],mexican,southwest
21,-0.8880986,3.2535741,[0.48367647 0.         0.55030196 1.        ],mexican,fiesta
22,-0.29829383,4.757495,[0.48367647 0.         0.55030196 1.        ],mexican,southwestern
23,-0.59402645,3.5031388,[0.48367647 0.         0.55030196 1.        ],mexican,taco
24,-1.4794694,2.6456013,[0.48367647 0.         0.55030196 1.        ],mexican,nacho
25,-1.0072978,5.29703,[0.48367647 0.         0.55030196 1.        ],mexican,enchilada
26,-0.5687746,2.8525352,[0.48367647 0.         0.55030196 1.        ],mexican,crushed tortilla chips
27,-0.36682457,4.854897,[0.48367647 0.         0.55030196 1.        ],mexican,tortilla
28,-0.17457874,3.2796972,[0.48367647 0.         0.55030196 1.        ],mexican,huevos
29,1.202023,3.4923253,[0.48367647 0.         0.55030196 1.        ],mexican,fajita
30,-0.4094295,3.9967577,[0.48367647 0.         0.55030196 1.        ],mexican,pinto beans drained rinsed
31,-2.6214166,4.338405,[0.48367647 0.         0.55030196 1.        ],mexican,tamale
32,-1.5090799,3.6532056,[0.48367647 0.         0.55030196 1.        ],mexican,refried beans
33,-0.43348357,2.5924222,[0.48367647 0.         0.55030196 1.        ],mexican,chunky salsa
